Name,Description,Images
Amphibians and Reptiles,"Because these animals are so small, they will be captured infrequently by the camera. Amphibians and reptiles include many species of frogs, snakes, lizards, turtles, and salamanders.  If you spot any of these, mark them here. ",amphibians-and-reptiles-1.jpg
"Badger, American","Badgers have low, wide bodies with short legs. The fur of a badger ranges from grayish to reddish along the back with a buff colored underside. Badgers have distinctive black patches on their face and a white stripe extending from nose, down the back. ","badger-american-1.jpg,
badger-american-2.jpg,
badger-american-3.jpg"
"Bear, Black","Black bears are large and heavily built.  They are usually black in color with a brown muzzle. Other uncommon color variations include brown or cinnamon. They have a short tail and prominent, round ears. ","bear-black-1.jpg,
bear-black-2.jpg,
bear-black-3.jpg"
"Beaver, American","Beavers have glossy fur that can appear reddish brown to blackish brown. They have a distinctive scaly paddle-shape tail. They have short, round ears and are typically found near water. ","beaver-american-1.jpg,
beaver-american-2.jpg"
Bird,"If you see a bird that doesn’t already have its own category, you can mark it here. ","birds-1.jpg,
birds-2.jpg,
birds-3.jpg"
Bobcat,"The coat of this cat varies from gray to reddish brown, typically with spots, especially on the belly. The bobcat has short tuffs on its ears. They have short tails that, on the tip, are black above with white below. ","bobcat-1.jpg,
bobcat-2.jpg,
bobcat-3.jpg"
"Cat, Domestic",Feral or stray cats are small in size compared to wild cat species. Look for unique coloration or patterns not found in the wild. ,"cat-domestic-1.jpg,
cat-domestic-2.jpg,
cat-domestic-3.jpg"
Chipmunks and Squirrels,"Because these animals are so small, they will be captured infrequently by the camera. Common species in this category include the gray squirrel, red squirrel, 13-lined ground squirrel, eastern or least chipmunks, and flying squirrels. If you spot any of these, mark them here. ","chipmunks-and-squirrels-1.jpg,
chipmunks-and-squirrels-2.jpg,
chipmunks-and-squirrels-3.jpg,
chipmunks-and-squirrels-4.jpg,
chipmunks-and-squirrels-5.jpg"
"Cottontail, Eastern","The fur of this small rabbit is brown in color with longer gray and black guard hairs, giving it a grizzled appearance.  Their ears are typically shorter than the hind feet and are small in proportion to the body. ","cottontail-eastern-1.jpg,
cottontail-eastern-2.jpg,
cottontail-eastern-3.jpg"
Cougar,"The coat of this large slender cat varies from yellowish brown to grayish brown with a lighter color belly and throat. Their head is relatively small and the area behind the ears is black. Cougars have a long black-tipped tail. Although there are no known breeding populations of cougar in Wisconsin, there have been several verified sightings in recent years.  ","cougar-1.jpg,
cougar-2.jpg,
cougar-3.jpg"
